investor_name,issuer,rank,cusip,value,weight
"Capital Research Global Investors","CME GROUP INC",77,12572Q105,1388129081,0.3415
"Capital Research Global Investors","TESLA INC",78,88160R101,1318808819,0.3245
"Capital Research Global Investors","MSCI INC",79,55354G100,1204267257,0.2963
"Capital Research Global Investors","ARISTA NETWORKS INC",80,040413106,1195071473,0.2940
"Capital Research Global Investors","DANAHER CORPORATION",81,235851102,1173540737,0.2887
"Capital Research Global Investors","NORWEGIAN CRUISE LINE HLDG L",82,G66721104,1143285346,0.2813
"Capital Research Global Investors","ILLINOIS TOOL WKS INC",83,452308109,1129589728,0.2779
"Capital Research Global Investors","VICI PPTYS INC",84,925652109,1100716134,0.2708
"Capital Research Global Investors","DUKE ENERGY CORP NEW",85,26441C204,1081124581,0.2660
"Capital Research Global Investors","CHUBB LIMITED",86,H1467J104,1050583291,0.2585
"Capital Research Global Investors","BIOMARIN PHARMACEUTICAL INC",87,09061G101,1038906821,0.2556
"Capital Research Global Investors","CVS HEALTH CORP",88,126650100,1023284094,0.2517
"Capital Research Global Investors","ALBEMARLE CORP",89,012653101,1022419820,0.2515
"Capital Research Global Investors","AFFIRM HLDGS INC",90,00827B106,995136302,0.2448
"Capital Research Global Investors","NICE LTD",91,653656108,993657468,0.2445
"Capital Research Global Investors","MCDONALDS CORP",92,580135101,971733799,0.2391
"Capital Research Global Investors","CONOCOPHILLIPS",93,20825C104,967306344,0.2380
"Capital Research Global Investors","AMERICAN TOWER CORP NEW",94,03027X100,957871511,0.2357
"Capital Research Global Investors","CERIDIAN HCM HLDG INC",95,15677J108,951996731,0.2342
"Capital Research Global Investors","BAKER HUGHES COMPANY",96,05722G100,948956092,0.2335
"Capital Research Global Investors","TOPBUILD CORP",97,89055F103,942723598,0.2319
"Capital Research Global Investors","CHURCHILL DOWNS INC",98,171484108,919513398,0.2262
"Capital Research Global Investors","HUMANA INC",99,444859102,916580028,0.2255
"Capital Research Global Investors","EQUINIX INC",100,29444U700,900323065,0.2215
"Capital Research Global Investors","GENERAL MTRS CO",101,37045V100,887239555,0.2183
"Capital Research Global Investors","MOLINA HEALTHCARE INC",102,60855R100,878085551,0.2160
