investor_name,issuer,rank,cusip,value,weight
"Pershing Square Capital Management LP","ALPHABET INC",1,02079K305,1929853456,18.5634
"Pershing Square Capital Management LP","CHIPOTLE MEXICAN GRILL INC",2,169656105,1886737426,18.1487
"Pershing Square Capital Management LP","RESTAURANT BRANDS INTL INC",3,76131D103,1824189788,17.5470
"Pershing Square Capital Management LP","HILTON WORLDWIDE HLDGS INC",4,43300A203,1671801066,16.0812
"Pershing Square Capital Management LP","HOWARD HUGHES HOLDINGS INC",5,44267T102,1612794075,15.5136
"Pershing Square Capital Management LP","CANADIAN PACIFIC KANSAS CITY",6,13646K108,1193452444,11.4799
"Pershing Square Capital Management LP","LOWES COS INC",7,548661107,277189363,2.6663
